Acceleration,Current_1,Voltage_1,Current_2,Current_3,Voltage_3,Fecha
9.87,0.61,249.9,0.61,0.67,247.4,Wed Oct 25 2023 18:20:41 GMT-0600 (hora estándar central)

9.93,0.61,249.9,0.61,0.67,247.4,Wed Oct 25 2023 18:20:43 GMT-0600 (hora estándar central)

9.81,0.61,249.9,0.61,0.67,247.3,Wed Oct 25 2023 18:20:44 GMT-0600 (hora estándar central)

9.79,0.61,249.9,0.61,0.67,247.4,Wed Oct 25 2023 18:20:45 GMT-0600 (hora estándar central)

9.77,0.61,249.9,0.61,0.67,247.4,Wed Oct 25 2023 18:20:46 GMT-0600 (hora estándar central)

9.84,0.61,250,0.61,0.67,247.4,Wed Oct 25 2023 18:20:47 GMT-0600 (hora estándar central)

9.95,0.61,249.9,0.61,0.67,247.4,Wed Oct 25 2023 18:20:49 GMT-0600 (hora estándar central)

9.76,0.61,249.9,0.61,0.66,247.4,Wed Oct 25 2023 18:20:50 GMT-0600 (hora estándar central)

9.83,0.61,250,0.61,0.67,247.5,Wed Oct 25 2023 18:20:51 GMT-0600 (hora estándar central)

9.85,0.61,250.1,0.61,0.67,247.6,Wed Oct 25 2023 18:20:52 GMT-0600 (hora estándar central)

9.92,0.61,250,0.61,0.67,247.4,Wed Oct 25 2023 18:20:53 GMT-0600 (hora estándar central)

9.8,0.61,250.1,0.61,0.67,247.5,Wed Oct 25 2023 18:20:55 GMT-0600 (hora estándar central)

9.88,0.61,250.1,0.61,0.67,247.7,Wed Oct 25 2023 18:20:56 GMT-0600 (hora estándar central)

9.84,0.61,250.1,0.61,0.67,247.5,Wed Oct 25 2023 18:20:57 GMT-0600 (hora estándar central)

9.81,0.61,250,0.61,0.67,247.4,Wed Oct 25 2023 18:20:58 GMT-0600 (hora estándar central)

9.79,0.61,250,0.61,0.67,247.4,Wed Oct 25 2023 18:20:59 GMT-0600 (hora estándar central)

