Tipo_corte,Current_1,Voltage_1,Current_2,Current_3,Voltage_3,formattedTimestamp,stringPersonalizado
20.62,240.9,19.81,10.42,21.69,239.8,08/11/2023 15:46:56,1

10.08,20.62,240.9,19.81,21.69,239.8,08/11/2023 15:46:56,1

10.23,20.62,240.9,19.81,21.69,239.8,08/11/2023 15:46:56,1

12.8,20.62,240.9,19.81,21.69,239.8,08/11/2023 15:46:56,1

8.82,20.62,240.9,19.81,21.69,239.8,08/11/2023 15:46:57,1

20.62,240.9,19.81,12.96,21.69,239.8,08/11/2023 15:46:57,1

20.62,240.9,19.81,21.69,239.8,8.24,08/11/2023 15:46:57,1

10.23,20.62,240.9,19.81,21.69,239.8,08/11/2023 15:46:57,1

10.26,20.62,240.9,19.81,21.69,239.8,08/11/2023 15:46:57,1

9.99,20.62,240.9,19.81,21.69,239.8,08/11/2023 15:46:57,1

8.72,20.62,240.9,19.81,21.69,239.8,08/11/2023 15:46:57,1

20.62,240.9,19.81,11.42,21.69,239.8,08/11/2023 15:46:57,1

10.84,20.62,240.9,19.81,21.69,239.8,08/11/2023 15:46:57,1

8.23,20.59,240.7,19.8,21.69,239.8,08/11/2023 15:46:57,1

20.59,240.7,19.8,10.03,21.71,239.5,08/11/2023 15:46:57,1

13.91,20.59,240.7,19.8,21.71,239.5,08/11/2023 15:46:57,1

12.38,20.59,240.7,19.8,21.71,239.5,08/11/2023 15:46:57,1

20.59,9.49,240.7,19.8,21.71,239.5,08/11/2023 15:46:57,1

6.99,20.59,240.7,19.8,21.71,239.5,08/11/2023 15:46:57,1

20.59,240.7,19.8,8.44,21.71,239.5,08/11/2023 15:46:57,1

9.39,20.59,240.7,19.8,21.71,239.5,08/11/2023 15:46:57,1

10.03,20.59,240.7,19.8,21.71,239.5,08/11/2023 15:46:58,1

20.59,8.42,240.7,19.8,21.71,239.5,08/11/2023 15:46:58,1

10.39,20.59,240.7,19.8,21.71,239.5,08/11/2023 15:46:58,1

10.13,20.59,240.7,19.8,21.71,239.5,08/11/2023 15:46:58,1

20.59,240.7,19.8,7.49,21.71,239.5,08/11/2023 15:46:58,1

20.59,240.7,19.8,21.71,239.5,10.96,08/11/2023 15:46:58,1

20.59,240.7,19.8,21.71,239.5,11.44,08/11/2023 15:46:58,1

11.9,20.59,240.7,19.8,21.71,239.5,08/11/2023 15:46:58,1

7.64,20.59,240.7,19.8,21.71,239.5,08/11/2023 15:46:58,1

8.44,20.59,240.7,19.8,21.71,239.5,08/11/2023 15:46:58,1

10.59,20.59,240.7,19.8,21.71,239.5,08/11/2023 15:46:58,1

20.59,240.7,19.8,21.71,239.5,12.06,08/11/2023 15:46:58,1

11.7,20.59,240.7,19.91,21.71,239.5,08/11/2023 15:46:58,1

10.67,20.59,240.7,19.91,21.71,239.5,08/11/2023 15:46:58,1

20.59,240.7,19.91,21.71,239.5,10.31,08/11/2023 15:46:58,1

20.59,240.7,19.91,21.71,239.5,16.05,08/11/2023 15:46:58,1

8.88,20.67,239.4,19.91,21.71,239.5,08/11/2023 15:46:58,1

20.67,12.08,239.4,19.91,21.88,238.3,08/11/2023 15:46:59,1

20.67,239.4,19.91,21.88,238.3,9.91,08/11/2023 15:46:59,1

20.67,239.4,19.91,8.89,21.88,238.3,08/11/2023 15:46:59,1

10.12,20.67,239.4,19.91,21.88,238.3,08/11/2023 15:46:59,1

10.55,20.67,239.4,19.91,21.88,238.3,08/11/2023 15:46:59,1

20.67,239.4,19.91,10.36,21.88,238.3,08/11/2023 15:46:59,1

11.34,20.67,239.4,19.91,21.88,238.3,08/11/2023 15:46:59,1

10.22,20.67,239.4,19.91,21.88,238.3,08/11/2023 15:46:59,1

7.73,20.67,239.4,19.91,21.88,238.3,08/11/2023 15:46:59,1

8.47,20.67,239.4,19.91,21.88,238.3,08/11/2023 15:46:59,1

20.67,239.4,19.91,8.46,21.88,238.3,08/11/2023 15:46:59,1

20.67,239.4,11.87,19.91,21.88,238.3,08/11/2023 15:46:59,1

20.67,239.4,19.91,21.88,238.3,11.51,08/11/2023 15:46:59,1

21.88,238.3,8.73,20.67,239.4,19.91,08/11/2023 15:46:59,1

21.88,238.3,13.14,20.67,239.4,19.91,08/11/2023 15:46:59,1

11.65,21.88,238.3,20.67,239.4,19.91,08/11/2023 15:46:59,1

21.88,238.3,10.84,20.67,239.4,19.91,08/11/2023 15:46:59,1

21.88,238.3,13.38,20.67,239.4,19.91,08/11/2023 15:46:59,1

21.88,238.3,9.28,20.77,239.4,19.94,08/11/2023 15:47:00,1

9.19,21.88,238.3,20.77,239.4,19.94,08/11/2023 15:47:00,1

11.37,22.01,238.1,20.77,239.4,19.94,08/11/2023 15:47:00,1

22.01,238.1,20.77,239.4,19.94,12.29,08/11/2023 15:47:00,1

9.66,22.01,238.1,20.77,239.4,19.94,08/11/2023 15:47:00,1

22.01,238.1,12.78,20.77,239,19.94,08/11/2023 15:47:00,1

12.04,22.01,238.1,alta,20.85,240.8,08/11/2023 15:47:05,1

13.89,19.94,21.77,239.8,20.85,240.8,08/11/2023 15:47:05,1

19.94,21.77,239.8,9.92,20.85,240.8,08/11/2023 15:47:05,1

19.94,21.77,239.8,8.09,20.85,240.8,08/11/2023 15:47:05,1

19.94,21.77,239.8,12.25,20.85,240.8,08/11/2023 15:47:05,1

12.83,19.94,21.77,239.8,20.85,240.8,08/11/2023 15:47:05,1

10.38,19.94,21.77,239.8,20.85,240.8,08/11/2023 15:47:05,1

19.94,21.77,239.8,20.85,240.8,10.27,08/11/2023 15:47:05,1

20.85,240.8,19.94,21.77,239.8,7.06,08/11/2023 15:47:05,1

9.23,20.85,240.8,19.94,21.77,239.8,08/11/2023 15:47:06,1

20.85,240.8,19.94,21.77,239.8,8.24,08/11/2023 15:47:06,1

8.63,20.85,240.8,19.94,21.77,239.8,08/11/2023 15:47:06,1

10.05,20.85,240.8,19.94,21.77,239.8,08/11/2023 15:47:06,1

20.85,240.8,9.88,19.94,21.77,239.8,08/11/2023 15:47:06,1

8.87,20.85,240.8,19.94,21.77,239.8,08/11/2023 15:47:06,1

5.47,20.85,240.8,19.94,21.77,239.8,08/11/2023 15:47:06,1

10.27,20.85,240.8,19.94,21.77,239.8,08/11/2023 15:47:06,1

10.29,20.85,240.8,19.94,21.77,239.8,08/11/2023 15:47:06,1

20.85,13.38,240.8,19.94,21.77,239.8,08/11/2023 15:47:06,1

8.52,20.85,240.8,19.94,21.77,239.8,08/11/2023 15:47:06,1

8.74,20.62,240.9,19.73,21.56,239.8,08/11/2023 15:47:06,1

20.62,7.87,240.9,19.73,21.56,239.8,08/11/2023 15:47:06,1

20.62,240.9,19.73,21.56,239.8,8.12,08/11/2023 15:47:06,1

20.62,240.9,19.73,21.56,239.8,6.58,08/11/2023 15:47:06,1

10.49,20.62,240.9,19.73,21.56,239.8,08/11/2023 15:47:06,1

20.62,240.9,19.73,21.56,239.8,8.35,08/11/2023 15:47:06,1

20.62,240.9,19.73,11.26,21.56,239.8,08/11/2023 15:47:06,1

10.19,20.62,240.9,19.73,21.56,239.8,08/11/2023 15:47:06,1

20.62,240.9,19.73,21.56,6.98,239.8,08/11/2023 15:47:07,1

9.74,20.62,240.9,19.73,21.56,239.8,08/11/2023 15:47:07,1

12.07,20.62,240.9,19.73,21.56,239.8,08/11/2023 15:47:07,1

8.19,20.62,240.9,19.73,21.56,239.8,08/11/2023 15:47:07,1

12.34,20.62,240.9,19.73,21.56,239.8,08/11/2023 15:47:07,1

20.62,240.9,19.73,21.56,239.8,10.18,08/11/2023 15:47:07,1

10.3,20.62,240.9,19.73,21.56,239.8,08/11/2023 15:47:07,1

20.62,240.9,19.73,13.32,21.56,239.8,08/11/2023 15:47:07,1

20.62,240.9,19.73,21.56,239.8,7.49,08/11/2023 15:47:07,1

9.67,240.9,19.73,21.56,239.8,20.62,08/11/2023 15:47:07,1

240.9,19.73,21.56,239.8,12.42,20.62,08/11/2023 15:47:07,1

10.33,240.9,19.73,21.56,239.8,20.62,08/11/2023 15:47:07,1

240.9,8.13,19.73,21.56,239.8,20.62,08/11/2023 15:47:07,1

240.9,19.73,9.44,21.56,239.8,20.62,08/11/2023 15:47:07,1

240.9,19.73,21.56,239.8,20.62,11.69,08/11/2023 15:47:07,1

8.77,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

9.78,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

9.32,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

8.65,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

10.88,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

11.48,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

10.85,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

20.62,240.8,19.68,21.56,239.7,12.1,08/11/2023 15:47:08,1

13.93,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

20.62,240.8,19.68,21.56,239.7,8.36,08/11/2023 15:47:08,1

10.94,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

7.03,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

20.62,12.12,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

12.21,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

20.62,240.8,19.68,21.56,239.7,11.88,08/11/2023 15:47:08,1

8.53,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

20.62,240.8,19.68,21.56,239.7,10.53,08/11/2023 15:47:08,1

7.39,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

9.83,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

20.62,13.27,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

11.03,20.62,240.8,19.68,21.56,239.7,08/11/2023 15:47:08,1

20.62,240.8,19.68,21.56,239.7,9.53,08/11/2023 15:47:08,1

20.62,240.8,10.18,19.71,21.61,239.6,08/11/2023 15:47:09,1

20.62,240.8,19.71,21.61,239.6,12.45,08/11/2023 15:47:09,1

8.9,20.62,240.8,19.71,21.61,239.6,08/11/2023 15:47:09,1

13.19,20.64,240.6,19.71,21.61,239.6,08/11/2023 15:47:09,1

