Tipo_corte,Current_1,Voltage_1,Current_2,Current_3,Voltage_3,formattedTimestamp,stringPersonalizado
20.5,242.3,11.37,19.55,21.37,241.3,08/11/2023 15:47:21,1

9.61,20.5,242.3,19.55,21.37,241.3,08/11/2023 15:47:21,1

20.5,242.3,19.55,21.37,241.3,12.78,08/11/2023 15:47:21,1

20.5,13.53,242.3,19.55,21.37,241.3,08/11/2023 15:47:21,1

18.98,20.5,242.3,19.04,20.73,241.5,08/11/2023 15:47:21,1

alta,12.32,20.05,243.9,19.07,21.07,08/11/2023 15:47:26,1

242.9,15.62,20.05,243.9,19.07,21.07,08/11/2023 15:47:26,1

242.9,22.77,20.05,243.9,19.07,21.07,08/11/2023 15:47:26,1

242.9,8.32,20.05,243.9,19.07,21.07,08/11/2023 15:47:26,1

242.9,20.05,6.09,243.9,19.07,21.07,08/11/2023 15:47:26,1

